com_x,com_y,com_z,lf_x,lf_y,lf_z,rf_x,rf_y,rf_z,x,y,Ly,Lx
0,0.08,0.55,0,0.1,0,0,-0.1,0,0,-0.02,0.02,0
4.94006603920357e-05,0.0799781960393789,0.55,0,0.1,0,4.87428493135349e-05,-0.099962916809024,0.00156800000000001,4.94006603920357e-05,-0.0200218039606211,0.0200218039606211,0.017664416439352
9.89090337894559e-05,0.0799127366162456,0.55,0,0.1,0,9.62803855552544e-05,-0.0998519471780505,0.00307199999999996,9.89090337894559e-05,-0.0200872633837544,0.0200872633837544,0.0353673483027478
0.000148633068054658,0.0798034790031318,0.55,0,0.1,0,0.000142728334581419,-0.0996679301194216,0.00451200000000007,0.000148633068054658,-0.0201965209968682,0.0201965209968682,0.0531473949931103
0.000198681181276146,0.079650184975168,0.55,0,0.1,0,0.000188208043692272,-0.0994122612791516,0.005888,0.000198681181276146,-0.020349815024832,0.020349815024832,0.0710433240542274
0.000249162498162905,0.0794525202906594,0.55,0,0.1,0,0.000232846667000715,-0.0990868888885389,0.00719999999999998,0.000249162498162905,-0.0205474797093406,0.0205474797093406,0.0890941556993517
0.000300187087979484,0.0792100539623061,0.55,0,0.1,0,0.000276777332213581,-0.098694308123266,0.00844800000000001,0.000300187087979484,-0.0207899460376939,0.0207899460376939,0.10733924789072
0.000351866204540591,0.0789222573174808,0.55,0,0.1,0,0.00032013928962508,-0.0982375538967135,0.00963199999999997,0.000351866204540591,-0.0210777426825192,0.0210777426825192,0.1258183821555
0.000404312528788469,0.0785885028455122,0.55,0,0.1,0,0.000363078044204872,-0.0977201921216887,0.010752,0.000404312528788469,-0.0214114971544878,0.0214114971544878,0.144571850325273
0.00045764041448198,0.0782080628294641,0.55,0,0.1,0,0.000405745471745702,-0.097146309482117,0.011808,0.00045764041448198,-0.0217919371705359,0.0217919371705359,0.163640542388187
0.000511966137533092,0.0777801077594235,0.55,0,0.1,0,0.000448299920117568,-0.0965205017634445,0.0128,0.000511966137533092,-0.0222198922405765,0.0222198922405765,0.183066035645327
0.000567408149534415,0.077303704523841,0.55,0,0.1,0,0.000490906296756455,-0.0958478607975291,0.013728,0.000567408149534415,-0.022696295476159,0.022696295476159,0.202890685365694
0.000624087336030594,0.0767778143749777,0.55,0,0.1,0,0.000533736143595739,-0.0951339600846248,0.014592,0.000624087336030594,-0.0232221856250223,0.0232221856250223,0.223157717137472
0.000682127280096669,0.0762012906640239,0.55,0,0.1,0,0.000576967700726923,-0.094384839161666,0.0153920000000001,0.000682127280096669,-0.0237987093359761,0.0237987093359761,0.243911321116927
0.000741654531798127,0.0755728763409507,0.55,0,0.1,0,0.000620785960153419,-0.0936069867924224,0.016128,0.000741654531798127,-0.0244271236590493,0.0244271236590493,0.265196748380449
0.000802798884120165,0.0748912012136425,0.55,0,0.1,0,0.000665382711076179,-0.0928073230611818,0.0168,0.000802798884120165,-0.0251087987863575,0.0251087987863575,0.287060409589826
0.000865693655967807,0.0741547789603361,0.55,0,0.1,0,0.000710956578223068,-0.091993180457423,0.017408,0.000865693655967807,-0.0258452210396639,0.0258452210396639,0.309549976185861
0.000930475982853918,0.0733620038888504,0.55,0,0.1,0,0.000757713054804636,-0.091172284044432,0.017952,0.000930475982853918,-0.0266379961111496,0.0266379961111496,0.332714484330998
0.000997287115908934,0.0725111474355414,0.55,0,0.1,0,0.000805864531747243,-0.0903527308099858,0.018432,0.000997287115908934,-0.0274888525644586,0.0274888525644586,0.356604441827579
0.00106627272986427,0.0716003543963488,0.55,0,0.1,0,0.000855630324920199,-0.0895429683020447,0.018848,0.00106627272986427,-0.0283996456036512,0.0283996456036512,0.381271938244853
0.00113758324068095,0.0706276388817167,0.55,0,0.1,0,0.000907236702136442,-0.088751772656862,0.0192,0.00113758324068095,-0.0293723611182833,0.0293723611182833,0.40677075849487
0.00121137413351593,0.0695908799865673,0.55,0,0.1,0,0.000960916911766301,-0.087988226131009,0.0194880000000001,0.00121137413351593,-0.0304091200134327,0.0304091200134327,0.433156500104891
0.00128780630174137,0.0684878171658882,0.55,0,0.1,0,0.00101691121486085,-0.0872616942525133,0.0197120000000001,0.00128780630174137,-0.0315121828341118,0.0315121828341118,0.460486694442021
0.0013670463977559,0.0673160453058491,0.55,0,0.1,0,0.0010754669227352,-0.0865818027096207,0.019872,0.0013670463977559,-0.0326839546941509,0.0326839546941509,0.488820932154366
0.00144926719635282,0.0660730094797006,0.55,0,0.1,0,0.00113683844201285,-0.0859584140985875,0.019968,0.00144926719635282,-0.0339269905202994,0.0339269905202994,0.51822099310226
0.00153464797143761,0.0647559993770223,0.55,0,0.1,0,0.00120128732917965,-0.0854016046543992,0.02,0.00153464797143761,-0.0352440006229777,0.0352440006229777,0.548750981062818
0.00162337488691606,0.0633621433941726,0.55,0,0.1,0,0.00126908235674009,-0.0849216410903825,0.019968,0.00162337488691606,-0.0366378566058274,0.0366378566058274,0.580477463501566
0.00171564140260527,0.0618884023730552,0.55,0,0.1,0,0.00134049959311004,-0.084528957674318,0.019872,0.00171564140260527,-0.0381115976269448,0.0381115976269448,0.613469616715878
0.00181164869605272,0.0603315629745512,0.55,0,0.1,0,0.00141582249841731,-0.0842341336698904,0.0197120000000001,0.00181164869605272,-0.0396684370254488,0.0396684370254488,0.647799376666703
0.00191160610118297,0.0586882306721668,0.55,0,0.1,0,0.00149534203841667,-0.0840478712731001,0.0194880000000001,0.00191160610118297,-0.0413117693278332,0.0413117693278332,0.683541595827451
