time_step,com_x,com_y,com_z,lf_x,lf_y,lf_z,rf_x,rf_y,rf_z
0.0,0.0,0.0,0.45,0.0,0.1,0.0,0.0,-0.1,0.0
0.01,0.0,0.0037368348638028015,0.45,0.0,0.1,0.0,-6.1983005581153465e-06,-0.0962631651361972,0.0015680000000000138
0.02,0.0,0.007263777901416149,0.45,0.0,0.1,0.0,-2.4768740371892494e-05,-0.09273622209858386,0.003072000000000019
0.03,0.0,0.010588519245550487,0.45,0.0,0.1,0.0,-5.563803039941372e-05,-0.08941148075444952,0.004512000000000016
0.04,0.0,0.013718308149140171,0.45,0.0,0.1,0.0,-9.868434365577761e-05,-0.08628169185085983,0.005888000000000004
0.05,0.0,0.016659968791585766,0.45,0.0,0.1,0.0,-0.00015373779600855067,-0.08334003120841424,0.007199999999999984
0.06,0.0,0.019419915158168197,0.45,0.0,0.1,0.0,-0.00022058111663282674,-0.08058008484183181,0.008448000000000011
0.07,0.0,0.022004165025076766,0.45,0.0,0.1,0.0,-0.0002989505054799101,-0.07799583497492324,0.009631999999999974
0.08,0.0,0.02441835308054481,0.45,0.0,0.1,0.0,-0.0003885366743755892,-0.0755816469194552,0.010751999999999984
0.09,0.0,0.026667743210701672,0.45,0.0,0.1,0.0,-0.0004889860676392607,-0.07333225678929833,0.011807999999999985
0.1,0.0,0.028757239976929277,0.45,0.0,0.1,0.0,-0.0005999022574066751,-0.07124276002307073,0.012799999999999978
0.11,0.0,0.03069139930974854,0.45,0.0,0.1,0.0,-0.0007208475081496073,-0.06930860069025147,0.013728000000000018
0.12,0.0,0.03247443844255224,0.45,0.0,0.1,0.0,-0.0008513445042180047,-0.06752556155744777,0.014591999999999994
0.13,0.0,0.034110245106844114,0.45,0.0,0.1,0.0,-0.0009908782335867913,-0.06588975489315589,0.015392000000000017
0.14,0.0,0.03560238600903337,0.45,0.0,0.1,0.0,-0.0011388980203730463,-0.06439761399096663,0.016127999999999976
0.15,0.0,0.03695411460726723,0.45,0.0,0.1,0.0,-0.0012948196981021325,-0.06304588539273277,0.01679999999999998
0.16,0.0,0.03816837820525836,0.45,0.0,0.1,0.0,-0.0014580279151458911,-0.061831621794741644,0.01740799999999998
0.17,0.0,0.03924782437857422,0.45,0.0,0.1,0.0,-0.0016278785632343926,-0.0607521756214258,0.017952000000000023
0.18,0.0,0.040194806747400315,0.45,0.0,0.1,0.0,-0.0018037013194570114,-0.059805193252599705,0.018432000000000004
0.19,0.0,0.04101139010836455,0.45,0.0,0.1,0.0,-0.001984802291720714,-0.05898860989163547,0.018847999999999976
0.2,0.0,0.04169935493661153,0.45,0.0,0.1,0.0,-0.0021704667572251396,-0.05830064506338849,0.019199999999999995
0.21,0.0,0.042260201267943664,0.45,0.0,0.1,0.0,-0.0023599619831469677,-0.057739798732056355,0.019488000000000005
0.22,0.0,0.04269515196949324,0.45,0.0,0.1,0.0,-0.0025525401184016195,-0.057304848030506776,0.019712000000000007
0.23,0.0,0.043005155406057115,0.45,0.0,0.1,0.0,-0.002747441145069825,-0.056994844593942905,0.019872
0.24,0.0,0.0431908875079076,0.45,0.0,0.1,0.0,-0.0029438958778411346,-0.05680911249209242,0.019967999999999986
0.25,0.0,0.043252753244588216,0.45,0.0,0.1,0.0,-0.003141128999636929,-0.056747246755411804,0.020000000000000018
0.26,0.0,0.04319088750790762,0.45,0.0,0.1,0.0,-0.0033383621214327242,-0.056809112492092396,0.019967999999999986
0.27,0.0,0.043005155406057115,0.45,0.0,0.1,0.0,-0.003534816854204033,-0.056994844593942905,0.019872
0.28,0.0,0.0426951519694932,0.45,0.0,0.1,0.0,-0.003729717880872239,-0.05730484803050682,0.019712000000000007
0.29,0.0,0.04226020126794364,0.45,0.0,0.1,0.0,-0.00392229601612689,-0.05773979873205638,0.019488000000000005
0.3,0.0,0.04169935493661153,0.45,0.0,0.1,0.0,-0.004111791242048718,-0.05830064506338849,0.019199999999999995
0.31,0.0,0.041011390108364534,0.45,0.0,0.1,0.0,-0.004297455707553144,-0.058988609891635485,0.018847999999999976
