,pel_x,pel_y,pel_z,lf_x,lf_y,lf_z,rf_x,rf_y,rf_z,x,y,Ly,Lx
0,-0.03561766318573862,0.09642298247818584,0.55,-0.005627298634892575,0.10212710917675161,0.0,0.0003450889662317668,-0.10295208244011993,0.01803377488373467,-0.0003391073062370721,-0.027114179340001196,0.0027201736558507402,0.245867
1,-0.0355791908473696,0.0956421638760351,0.55,-0.005627298634892575,0.10212710917675161,0.0,0.0003442212274487504,-0.10363674812001221,0.018349457664495087,-0.0003327580816056464,-0.02775103877336181,0.0024236325500645558,0.27008285148295447
2,-0.03522464189825734,0.09474586437962329,0.55,-0.005627298634892575,0.10212710917675161,0.0,0.00032822249948356256,-0.10447734587921437,0.018637533984911216,-0.00032713440138498984,-0.028448406462383398,0.00213237592314654,0.2948875905517266
3,-0.03491703286332983,0.09382017795196816,0.55,-0.005627298634892575,0.10212710917675161,0.0,0.00029719037795318017,-0.10547483099183795,0.018898003844983052,-0.0003222240037248948,-0.02920780294482896,0.0018457687202942975,0.3203353013617037
4,-0.034733417096268815,0.09287159202226855,0.55,-0.005627298634892575,0.10212710917675161,0.0,0.0002512774181719947,-0.10662991961593196,0.0191308672447106,-0.00031801618201363974,-0.03003088400579839,0.0015631860242913556,0.3464814700013255
5,-0.034479260978959786,0.0918043595726249,0.55,-0.005627298634892575,0.10212710917675161,0.0,0.00019069059868443913,-0.10794309611202865,0.019336124184093854,-0.0003145017615333355,-0.03091944428799584,0.0012840116929401294,0.37338310547373343
6,-0.03424146762011411,0.09066095951952155,0.55,-0.005627298634892575,0.10212710917675161,0.0,0.00011569056062817225,-0.10941462212726072,0.01951377466313282,-0.00031167307945540595,-0.03187542120476155,0.001007637015627896,0.4010988639989756
7,-0.03401551722065148,0.08944561296476085,0.55,-0.005627298634892575,0.10212710917675161,0.0,2.65906260522664e-05,-0.1110445474331733,0.019663818681827497,-0.00030952396813258763,-0.0329008991644003,0.0007334593860965765,0.4296891769077992
8,-0.0337952976708624,0.08814873337394333,0.55,-0.005627298634892575,0.10212710917675161,0.0,-7.62444008329732e-05,-0.11283272250034135,0.01978625624017788,-0.0003080497416510152,-0.0339981141150171,0.00046088098852242244,0.459216382405885
9,-0.03356960269498312,0.0867675793260781,0.55,-0.005627298634892575,0.10212710917675161,0.0,-0.00019239964466125862,-0.11477881278801211,0.019881087338183976,-0.00030724718561307344,-0.03516945841976954,0.000189307494040745,0.48974486149582636
10,-0.03336449539271791,0.08529257512947543,0.55,-0.005627298634892575,0.10212710917675161,0.0,-0.00032141177653942886,-0.11688231472224825,0.019948311975845782,-0.00030711455012873774,-0.03641748607316708,-8.185323512639701e-05,0.5213411783532133
11,-0.03316705729301803,0.08372771981446943,0.55,-0.005627298634892575,0.10212710917675161,0.0,-0.0004627708318734481,-0.11914257333147316,0.019987930153163296,-0.0003076515460001203,-0.037744918269790616,-0.00035319243676508076,0.5540742254628988
12,-0.03299355123005575,0.08208295019771486,0.55,-0.005627298634892575,0.10212710917675161,0.0,-0.0006159222211937817,-0.12155880150393841,0.019999941870136522,-0.0003088593440909045,-0.03915464933757437,-0.0006253017378020534,0.5880153738319017
13,-0.03282062590195175,0.08032658140631663,0.55,-0.005627298634892575,0.10212710917675161,0.0,-0.0007802689260404689,-0.12413010082746546,0.019984347126765455,-0.00031074057787929124,-0.04064975304858719,-0.0008987744442857637,0.6232386286064697
14,-0.032647471464697944,0.07847265296402284,0.55,-0.005627298634892575,0.10212710917675161,0.0,-0.0009551738712574006,-0.12685548396788265,0.0199411459230501,-0.0003132993492000247,-0.042233489321073,-0.0011742068350285226,0.6598207904326079
15,-0.0324753000990368,0.07651185254984202,0.55,-0.005627298634892575,0.10212710917675161,0.0,-0.0011399624643685996,-0.12973389853890305,0.019870338258990455,-0.00031654123718801634,-0.04390931132736377,-0.0014521994617304823,0.6978416229119055
16,-0.03230954869072737,0.07444189894515268,0.55,-0.005627298634892575,0.10212710917675161,0.0,-0.0013339252920695445,-0.1327642524127893,0.01977192413458652,-0.00032047331044306914,-0.04568087302316281,-0.0017333584584202024,0.7373840265177787
17,-0.03214473431427166,0.07225381691672778,0.55,-0.005627298634892575,0.10212710917675161,0.0,-0.0015363209632662748,-0.13594544041804718,0.019645903549838292,-0.00032510414244222424,-0.047552037114615434,-0.0020182968630668933,0.7785342193513363
18,-0.03197404240395035,0.06994370270253397,0.55,-0.005627298634892575,0.10212710917675161,0.0,-0.0017463790875364912,-0.13927637236759854,0.019492276504745776,-0.0003304438302333369,-0.0495268834805382,-0.0023076359542459884,0.8213819251309874
19,-0.03179885157885463,0.06750916792048456,0.55,-0.005627298634892575,0.10212710917675161,0.0,-0.0019633033773726024,-0.14275600235842084,0.019311042999308966,-0.0003365040164506399,-0.05160971806817066,-0.002602006605772511,0.866020568825685
20,-0.03160981589731628,0.06494330928157278,0.55,-0.005627298634892575,0.10212710917675161,0.0,-0.002186274862098435,-0.14638335928152577,0.01910220303352787,-0.00034329791470029706,-0.05380508228184572,-0.0029020506622558515,0.9125474803583586
21,-0.031417816130708966,0.0622411291289883,0.55,-0.005627298634892575,0.10212710917675161,0.0,-0.0024144552009312988,-0.15015757847939082,0.018865756607402483,-0.00035084033837129826,-0.05611776288504977,-0.003208422338575227,0.9610641068236969
22,-0.03122054192941257,0.05940113612454673,0.55,-0.005627298634892575,0.10212710917675161,0.0,-0.0026469900822908006,-0.1540779344865765,0.018601703720932804,-0.00035914773293451466,-0.05855280243746298,-0.0035217896463272287,1.0116762336829916
