t,com_x,com_y,com_z,lf_x,lf_y,lf_z,rf_x,rf_y,rf_z
0,0.0,0.0,0.45,0.0,0.1,0.0,-0.006282257999273856,-0.016101250071597933,0.0
0.01,0.0,-0.00010901980310565329,0.45,0.0,0.1,0.0,-0.00627605969871574,-0.021047559709023014,0.001568
0.02,0.0,-0.00043631691877195344,0.45,0.0,0.1,0.0,-0.006257489258901964,-0.02635957447133422,0.0030719999999999983
0.03,0.0,-0.000982604984341079,0.45,0.0,0.1,0.0,-0.0062266199688744426,-0.03201923227139039,0.004512
0.04,0.0,-0.0017490751241599628,0.45,0.0,0.1,0.0,-0.006183573655618078,-0.03800830833030311,0.005888000000000003
0.05,0.0,-0.0027373985467032125,0.45,0.0,0.1,0.0,-0.006128520203265306,-0.04430843050010044,0.007199999999999998
0.060000000000000005,0.0,-0.0039497301884693775,0.45,0.0,0.1,0.0,-0.006061676882641029,-0.0509011009001018,0.008448
0.07,0.0,-0.005388713412596197,0.45,0.0,0.1,0.0,-0.005983307493793946,-0.05776772473775216,0.009632
0.08,0.0,-0.00705748577243899,0.45,0.0,0.1,0.0,-0.0058937213248982665,-0.06488964716564297,0.010752000000000001
0.09,0.0,-0.0089596858526797,0.45,0.0,0.1,0.0,-0.005793271931634595,-0.07224819900459109,0.011807999999999999
0.09999999999999999,0.0,-0.01109946120288266,0.45,0.0,0.1,0.0,-0.005682355741867181,-0.07982475213788473,0.012799999999999999
0.10999999999999999,0.0,-0.013481477380795234,0.45,0.0,0.1,0.0,-0.005561410491124249,-0.08760078535404783,0.013728
0.11999999999999998,0.0,-0.01611092812511164,0.45,0.0,0.1,0.0,-0.005430913495055851,-0.0955579613846124,0.014592
0.12999999999999998,0.0,-0.018993546679880333,0.45,0.0,0.1,0.0,-0.005291379765687064,-0.10367821584929227,0.015392
0.13999999999999999,0.0,-0.022135618295246656,0.45,0.0,0.1,0.0,-0.0051433599789008095,-0.11194385878347399,0.016128
0.15,0.0,-0.02554399393178769,0.45,0.0,0.1,0.0,-0.004987438301171723,-0.12033768938192205,0.0168
0.16,0.0,-0.02922610519831953,0.45,0.0,0.1,0.0,-0.004824230084127965,-0.12884312454785626,0.017408
0.17,0.0,-0.03318998055574793,0.45,0.0,0.1,0.0,-0.004654379436039463,-0.13744434178791337,0.017952000000000003
0.18000000000000002,0.0,-0.03744426282229299,0.45,0.0,0.1,0.0,-0.004478556679816844,-0.14612643694075392,0.018432
0.19000000000000003,0.0,-0.04199822801825576,0.45,0.0,0.1,0.0,-0.0042974557075531414,-0.15487559717001156,0.018848
0.20000000000000004,0.0,-0.04686180559141656,0.45,0.0,0.1,0.0,-0.004111791242048716,-0.16367928959069913,0.019200000000000002
0.21000000000000005,0.0,-0.052045600067163716,0.45,0.0,0.1,0.0,-0.0039222960161268885,-0.17252646583186673,0.019488000000000002
0.22000000000000006,0.0,-0.057560914170558836,0.45,0.0,0.1,0.0,-0.0037297178808722367,-0.18140778276704458,0.019712
0.23000000000000007,0.0,-0.06341977347075439,0.45,0.0,0.1,0.0,-0.003534816854204031,-0.19031583956759043,0.019872
0.24000000000000007,0.0,-0.06963495260149696,0.45,0.0,0.1,0.0,-0.003338362121432721,-0.19924543115229223,0.019968
0.25000000000000006,0.0,-0.0762200031148885,0.45,0.0,0.1,0.0,-0.003141128999636927,-0.20819381801927875,0.02
0.26000000000000006,0.0,-0.08318928302913725,0.45,0.0,0.1,0.0,-0.002943895877841132,-0.2171610123532741,0.019968
0.2700000000000001,0.0,-0.09055798813472404,0.45,0.0,0.1,0.0,-0.0027474411450698222,-0.2261500802023547,0.019872
0.2800000000000001,0.0,-0.09834218512724396,0.45,0.0,0.1,0.0,-0.002552540118401617,-0.23516745941350223,0.019712
0.2900000000000001,0.0,-0.10655884663916618,0.45,0.0,0.1,0.0,-0.0023599619831469656,-0.24422329290527808,0.019488
0.3000000000000001,0.0,-0.11522588824689498,0.45,0.0,0.1,0.0,-0.0021704667572251374,-0.25333177673882235,0.0192
0.3100000000000001,0.0,-0.12436220753382207,0.45,0.0,0.1,0.0,-0.0019848022917207117,-0.2625115223250577,0.018847999999999997
0.3200000000000001,0.0,-0.13398772529454292,0.45,0.0,0.1,0.0,-0.00180370131945701,-0.2717859319764745,0.018431999999999997
0.3300000000000001,0.0,-0.14412342897007865,0.45,0.0,0.1,0.0,-0.0016278785632343905,-0.28118358687623923,0.017951999999999996
0.34000000000000014,0.0,-0.1547914184088103,0.45,0.0,0.1,0.0,-0.0014580279151458892,-0.2907386463957172,0.017407999999999993
0.35000000000000014,0.0,-0.16601495405290065,0.45,0.0,0.1,0.0,-0.0012948196981021304,-0.3004912575439974,0.016799999999999992
0.36000000000000015,0.0,-0.1778185076552711,0.45,0.0,0.1,0.0,-0.0011388980203730446,-0.31048797317987853,0.01612799999999999
0.37000000000000016,0.0,-0.19022781563771515,0.45,0.0,0.1,0.0,-0.0009908782335867896,-0.3207821774583206,0.015391999999999987
0.38000000000000017,0.0,-0.2032699352064913,0.45,0.0,0.1,0.0,-0.0008513445042180029,-0.3314345168199522,0.014591999999999987
0.3900000000000002,0.0,-0.21697330334774892,0.45,0.0,0.1,0.0,-0.0007208475081496056,-0.342513334664295,0.013727999999999983
0.4000000000000002,0.0,-0.23136779883142092,0.45,0.0,0.1,0.0,-0.000599902257406673,-0.3540951076754635,0.012799999999999982
0.4100000000000002,0.0,-0.2464848073587759,0.45,0.0,0.1,0.0,-0.0004889860676392586,-0.36626488159382165,0.01180799999999998
